Name,Country,CountryCode,Sport,Sport-code,Date of Birth,Gender,Age,Age
COLORADO MINA Anderson Alexander,Ecuador,ECU,Athletics,ATH,23/12/99,Male,22,21
COMERFORD Orla,Ireland,IRL,Athletics,ATH,14/09/97,Female,24,23
COMPAORE Ferdinand,Burkina Faso,BUR,Athletics,ATH,31/12/02,Male,19,18
CONCEICAO de OLIVEIRA Wescley,Brazil,BRA,Sitting Volleyball,VBS,14/11/83,Male,38,37
CONGO VILLALBA Jordi Patricio,Ecuador,ECU,Athletics,ATH,01/11/96,Male,25,24
CONROY Amy,Great Britain,GBR,Wheelchair Basketball,WBK,22/10/92,Female,29,28
CONTRAFATTO Monica Graziana,Italy,ITA,Athletics,ATH,09/03/81,Female,41,40
COOK Mindy,United States of America,USA,Goalball,GBL,23/09/88,Female,33,32
COOKE Carol,Australia,AUS,Cycling Road,CRD,06/08/61,Female,60,59
COOMBS Krysten,Great Britain,GBR,Badminton,BDM,15/11/90,Male,31,30
COON Kyle,United States of America,USA,Triathlon,TRI,20/11/91,Male,30,29
COPOLA Gabriel,Argentina,ARG,Table Tennis,TTE,20/01/84,Male,38,37
CORAZA CASTANEDA Diana Laura,Mexico,MEX,Athletics,ATH,06/06/95,Female,26,25
CORDEIRO da SILVA Ronystony,Brazil,BRA,Swimming,SWM,19/06/80,Male,41,40
CORDEIRO Ronan,Brazil,BRA,Triathlon,TRI,10/08/97,Male,24,23
CORNEGLIANI Fabrizio,Italy,ITA,Cycling Road,CRD,12/03/69,Male,53,52
COROMPT Christophe,France,FRA,Wheelchair Rugby,WRU,04/07/73,Male,48,47
CORONADO TEJEDA Eva,Spain,ESP,Swimming,SWM,16/05/99,Female,22,21
CORREIA BAESSA Sandro Patricio,Portugal,POR,Athletics,ATH,29/03/99,Male,23,22
CORREIA Joao,Portugal,POR,Athletics,ATH,20/07/83,Male,38,37
CORSO Liza,United States of America,USA,Athletics,ATH,10/07/03,Female,18,17
CORSO Oxana,Italy,ITA,Athletics,ATH,09/07/95,Female,26,25
CORYELL Lia,United States of America,USA,Archery,ARC,26/01/65,Female,57,56
COSKUNER Erhan,Turkey,TUR,Shooting,SHO,10/08/84,Male,37,36
COSTA Ana,Portugal,POR,Boccia,BOC,16/12/95,Female,26,25
COSTA ALEXANDRE Bruna,Brazil,BRA,Table Tennis,TTE,29/03/95,Female,27,26
COSTA Carolina,Italy,ITA,Judo,JUD,25/08/94,Female,27,26
COSTA de OLIVEIRA Ricardo,Brazil,BRA,Athletics,ATH,14/06/82,Male,39,38
COSTA de OLIVEIRA Silvania,Brazil,BRA,Athletics,ATH,23/05/87,Female,34,33
COSTA Luis,Portugal,POR,Cycling Road,CRD,10/06/73,Male,48,47
COTIE Spencer,Australia,AUS,Boccia,BOC,18/04/99,Male,22,21
COTTERILL Antony,Great Britain,GBR,Wheelchair Tennis,WTE,13/02/80,Male,42,41
COUGHLAN Joel,Australia,AUS,Table Tennis,TTE,13/07/88,Male,33,32
COULIBALY Korotoumou,Mali,MLI,Athletics,ATH,14/06/83,Female,38,37
COULIBALY Youssouf,Mali,MLI,Athletics,ATH,02/01/93,Male,29,28
COURT Laura,Canada,CAN,Rowing,ROW,13/12/96,Female,25,24
COUTYA Dimitri,Great Britain,GBR,Wheelchair Fencing,WFE,07/10/97,Male,24,23
COWLING Ryan,Great Britain,GBR,Wheelchair Rugby,WRU,05/02/76,Male,46,45
COX Kadeena,Great Britain,GBR,Athletics,ATH,10/03/91,Female,31,30
COX Kadeena,Great Britain,GBR,Cycling Track,CTR,10/03/91,Female,31,30
CREANGE Lucas,France,FRA,Table Tennis,TTE,26/10/92,Male,29,28
CREESE Dexroy,St Vincent and the Grenadines,VIN,Swimming,SWM,10/12/84,Male,37,36
CRETUL Oleg,Republic of Moldova,MDA,Judo,JUD,21/02/75,Male,47,46
CRISPIN CORZO Nelson,Colombia,COL,Swimming,SWM,10/05/92,Male,29,28
CRISTALDO Luis,Argentina,ARG,Boccia,BOC,15/11/97,Male,24,23
CRISTINO ZAPATA Stefanny Rubi,Mexico,MEX,Swimming,SWM,11/11/96,Female,25,24
CRNOBRNJA Stevan,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS,21/02/84,Male,38,37
CRONAU Shelley,Australia,AUS,Wheelchair Basketball,WBK,29/05/85,Female,36,35
CRONJE Jess,Australia,AUS,Wheelchair Basketball,WBK,25/01/98,Female,24,23
CROSBY Kym,United States of America,USA,Athletics,ATH,14/02/93,Female,29,28
CROTEAU Marie-Eve,Canada,CAN,Cycling Road,CRD,19/06/79,Female,42,41
CROTHERS Rowan,Australia,AUS,Swimming,SWM,24/10/97,Male,24,23
CRUICKSHANK Nye,Grenada,GRN,Swimming,SWM,19/10/01,Female,20,19
CRUZ Manuel,Portugal,POR,Boccia,BOC,26/08/63,Male,58,57
CSONKA Andras,Hungary,HUN,Table Tennis,TTE,27/11/88,Male,33,32
CUCCURU Rita,Italy,ITA,Triathlon,TRI,28/10/77,Female,44,43
CUCHRAN Ladislav,Slovakia,SVK,Athletics,ATH,04/08/82,Male,39,38
CUESTA MARTINEZ Eduardo,Spain,ESP,Table Tennis,TTE,08/05/85,Male,36,35
CUI Zhe,People's Republic of China,CHN,Powerlifting,PWL,01/12/86,Female,35,34
CUMMINS Nicholas,Great Britain,GBR,Wheelchair Rugby,WRU,04/08/85,Male,36,35
CUNDY Jody,Great Britain,GBR,Cycling Track,CTR,14/10/78,Male,43,42
CUNNINGTON Tammy,Canada,CAN,Swimming,SWM,27/12/75,Female,46,45
CURE Oznur,Turkey,TUR,Archery,ARC,01/10/97,Female,24,23
CURINOVA Katerina,Czech Republic,CZE,Boccia,BOC,18/08/86,Female,35,34
CURRIE Cailin,United States of America,USA,Swimming,SWM,11/06/98,Female,23,22
CURZILLAT Annouck,France,FRA,Triathlon,TRI,12/05/92,Female,29,28
CZECH Jacek,Poland,POL,Swimming,SWM,29/02/76,Male,46,45
CZECHOWSKI Lisa,United States of America,USA,Goalball,GBL,29/05/79,Female,42,41
CZUPER Rafal,Poland,POL,Table Tennis,TTE,19/02/88,Male,34,33
D'ANDREA Mariana,Brazil,BRA,Powerlifting,PWL,12/02/98,Female,24,23
da COSTA COELHO BUMUSSA Matheus,Brazil,BRA,Football 5-a-side,FB5,03/10/94,Male,27,26
da COSTA DIAS Gizele Maria,Brazil,BRA,Sitting Volleyball,VBS,29/10/77,Female,44,43
da PAIXAO BARROS Gledson,Brazil,BRA,Football 5-a-side,FB5,10/09/90,Male,31,30
da SILVA Ana Claudia Maria,Brazil,BRA,Athletics,ATH,23/12/87,Female,34,33
da SILVA Alessandro Rodrigo,Brazil,BRA,Athletics,ATH,28/08/84,Male,37,36
da SILVA Antonio Tenorio,Brazil,BRA,Judo,JUD,24/10/70,Male,51,50
da SILVA BRITO Samira,Brazil,BRA,Athletics,ATH,06/08/89,Female,32,31
da SILVA Daniel Jorge,Brazil,BRA,Sitting Volleyball,VBS,24/03/81,Male,41,40
da SILVA Emerson,Brazil,BRA,Goalball,GBL,11/02/99,Male,23,22
da SILVA Ercileide,Brazil,BRA,Boccia,BOC,18/09/75,Female,46,45
da SILVA Evanio,Brazil,BRA,Powerlifting,PWL,02/09/84,Male,37,36
da SILVA Fernanda Yara,Brazil,BRA,Athletics,ATH,15/08/86,Female,35,34
da SILVA Julyana Cristina,Brazil,BRA,Athletics,ATH,01/05/96,Female,25,24
da SILVA Jucelino,Brazil,BRA,Rowing,ROW,21/04/72,Male,49,48
da SILVA Jose Ronaldo,Brazil,BRA,Swimming,SWM,09/09/80,Male,41,40
da SILVA JUNIOR Valdeni,Brazil,BRA,Rowing,ROW,25/12/89,Male,32,31
da SILVA Leandro Henrique,Brazil,BRA,Sitting Volleyball,VBS,13/06/84,Male,37,36
da SILVA NEVES EUZEBIO Joana Maria,Brazil,BRA,Swimming,SWM,14/02/87,Female,35,34
da SILVA OLIVEIRA Catia Cristina,Brazil,BRA,Table Tennis,TTE,12/06/91,Female,30,29
da SILVA PINTO Fabricio,Brazil,BRA,Sitting Volleyball,VBS,28/02/94,Male,28,27
da SILVA SOUSA Lucilene,Brazil,BRA,Swimming,SWM,05/04/00,Female,22,21
da SILVA Tiago,Brazil,BRA,Football 5-a-side,FB5,28/09/95,Male,26,25
DABEZIES Lucia,Uruguay,URU,Swimming,SWM,02/03/97,Female,25,24
DADAON Ami Omer,Israel,ISR,Swimming,SWM,26/12/00,Male,21,20
DADZITE Diana,Latvia,LAT,Athletics,ATH,04/02/86,Female,36,35
DAGENAIS Patrice,Canada,CAN,Wheelchair Rugby,WRU,04/10/84,Male,37,36
DAGVADORJ Saruultugs,Mongolia,MGL,Athletics,ATH,02/08/84,Female,37,36
DAHLEN Aida,Norway,NOR,Table Tennis,TTE,05/10/90,Female,31,30
DAI Jiameng,People's Republic of China,CHN,Wheelchair Basketball,WBK,07/07/95,Female,26,25
DAI Yunqiang,People's Republic of China,CHN,Athletics,ATH,20/07/90,Male,31,30
DALEN Joern,Norway,NOR,Shooting,SHO,10/08/59,Male,62,61
DALIYEV Siyazbek,Kazakhstan,KAZ,Swimming,SWM,07/10/90,Male,31,30
DALLAIRE Vincent,Canada,CAN,Wheelchair Basketball,WBK,07/03/95,Male,27,26
DAMBAKATE Bacou,Guinea,GUI,Athletics,ATH,30/08/90,Male,31,30
DANA Alicia,United States of America,USA,Cycling Road,CRD,12/02/69,Female,53,52
DANABAS Fatma,Turkey,TUR,Archery,ARC,28/01/83,Female,39,38
DANDENEAU Kathleen,Canada,CAN,Wheelchair Basketball,WBK,25/01/90,Female,32,31
DANI Gyongyi,Hungary,HUN,Wheelchair Fencing,WFE,03/07/75,Female,46,45
DANIEL Shmuel,Israel,ISR,Rowing,ROW,08/05/85,Male,36,35
DANIEL Stefan,Canada,CAN,Triathlon,TRI,22/02/97,Male,25,24
DANILENKO Vladimir,RPC,RPC,Swimming,SWM,23/09/99,Male,22,21
DANYLINA Liudmyla,Ukraine,UKR,Athletics,ATH,11/09/85,Female,36,35
DANYLIUK Roman,Ukraine,UKR,Athletics,ATH,07/03/93,Male,29,28
DANZ Hailey,United States of America,USA,Triathlon,TRI,09/01/91,Female,31,30
DARABIAN AGHDAS Elnaz,Islamic Republic of Iran,IRI,Athletics,ATH,29/07/83,Female,38,37
DATINSKA Eva,Czech Republic,CZE,Athletics,ATH,25/05/86,Female,35,34
DATSKO Anton,Ukraine,UKR,Wheelchair Fencing,WFE,24/05/83,Male,38,37
DAUDA Ibrahim,Nigeria,NGR,Powerlifting,PWL,10/10/83,Male,38,37
DAULET Temirzhan,Kazakhstan,KAZ,Judo,JUD,20/02/91,Male,31,30
DAVID Krisztina,Hungary,HUN,Shooting,SHO,05/12/75,Female,46,45
DAVIDSON Heath,Australia,AUS,Wheelchair Tennis,WTE,09/05/87,Male,34,33
DAVIES Aled,Great Britain,GBR,Athletics,ATH,24/05/91,Male,30,29
DAVIES Victoria,Australia,AUS,Equestrian,EQU,21/08/84,Female,37,36
DAVIS Katie,United States of America,USA,Judo,JUD,25/07/86,Female,35,34
DAVIS Thomas,United States of America,USA,Cycling Road,CRD,22/04/77,Male,44,43
DAVLATOV Nuriddin,Uzbekistan,UZB,Powerlifting,PWL,19/02/89,Male,33,32
DAWES Christie,Australia,AUS,Athletics,ATH,03/05/80,Female,41,40
DAWSHI Hassan,Saudi Arabia,KSA,Athletics,ATH,06/06/91,Male,30,29
DAYABOU Ibrahim,Niger,NIG,Athletics,ATH,01/01/95,Male,27,26
DAZA GUZMAN Maria Monica,Colombia,COL,Archery,ARC,03/05/88,Female,33,32
de ALMEIDA SILVA Nurya,Brazil,BRA,Sitting Volleyball,VBS,26/04/91,Female,30,29
de ANDRADE Matias,Argentina,ARG,Swimming,SWM,22/04/93,Male,28,27
de CASTRO Andrey,Brazil,BRA,Archery,ARC,12/04/76,Male,45,44
de FARIA DIAS Daniel,Brazil,BRA,Swimming,SWM,24/05/88,Male,33,32
de FARIA Natali,Brazil,BRA,Boccia,BOC,26/02/90,Female,32,31
de GROOT Diede,Netherlands,NED,Wheelchair Tennis,WTE,19/12/96,Female,25,24
de JESUS SANTOS Edneusa,Brazil,BRA,Athletics,ATH,28/07/76,Female,45,44
de JESUS Vitor Antonio,Brazil,BRA,Athletics,ATH,09/10/95,Male,26,25
de JONG Joel,Netherlands,NED,Athletics,ATH,17/01/02,Male,20,19
de KONING Corne,Netherlands,NED,Rowing,ROW,27/09/89,Male,32,31
de la BOURDONNAYE Gilles,France,FRA,Table Tennis,TTE,27/01/73,Male,49,48
de la CRUZ SEVERINO Darlenys,Dominican Republic,DOM,Athletics,ATH,02/05/01,Female,20,19
de la FOREST Tanguy,France,FRA,Shooting,SHO,24/04/78,Male,43,42
de la PUENTE Martin,Spain,ESP,Wheelchair Tennis,WTE,22/06/99,Male,22,21
de LAS HERAS CHIBAS Noraivis,Cuba,CUB,Athletics,ATH,19/09/64,Female,57,56
de LAVALETTE Beatrice,United States of America,USA,Equestrian,EQU,29/11/98,Female,23,22
de LIMA Lara Aparecida,Brazil,BRA,Powerlifting,PWL,25/04/03,Female,18,17
de LIMA SILVA Nathalie Filomena,Brazil,BRA,Sitting Volleyball,VBS,13/04/90,Female,31,30
de los SANTOS Alfredo,United States of America,USA,Cycling Road,CRD,17/10/69,Male,52,51
de MELO Alex,Brazil,BRA,Goalball,GBL,10/12/94,Male,27,26
de MORAES Thomaz Ruan,Brazil,BRA,Athletics,ATH,07/08/01,Male,20,19
de OLIVEIRA Andreza Vitoria,Brazil,BRA,Boccia,BOC,29/01/01,Female,21,20
de OLIVEIRA DIAS Edwarda,Brazil,BRA,Sitting Volleyball,VBS,22/04/99,Female,22,21
de OLIVEIRA DIAS Gustavo Henrique,Brazil,BRA,Athletics,ATH,05/05/00,Male,21,20
de OLIVEIRA Evelyn,Brazil,BRA,Boccia,BOC,17/08/87,Female,34,33
de OLIVEIRA Jose Carlos Chagas,Brazil,BRA,Boccia,BOC,04/08/77,Male,44,43
de OLIVEIRA Joyce,Brazil,BRA,Table Tennis,TTE,24/06/90,Female,31,30
de OLIVEIRA LEITE Renato,Brazil,BRA,Sitting Volleyball,VBS,11/08/82,Male,39,38
de PAOLIS Eleonora,Italy,ITA,Canoe Sprint,CSP,09/06/86,Female,35,34
de REU Maud,Netherlands,NED,Equestrian,EQU,07/01/99,Female,23,22
de ROOIJ Carina,Netherlands,NED,Wheelchair Basketball,WBK,10/05/80,Female,41,40
de ROZARIO Madison,Australia,AUS,Athletics,ATH,24/11/93,Female,28,27
de SOUSA LIMA Lucas,Brazil,BRA,Athletics,ATH,19/10/95,Male,26,25
de SOUZA GOMES Felipe,Brazil,BRA,Athletics,ATH,26/04/86,Male,35,34
de SOUZA SOARES Ana Luisa Aparecida,Brazil,BRA,Sitting Volleyball,VBS,28/03/01,Female,21,20
de SOUZA Vanessa Cristina,Brazil,BRA,Athletics,ATH,20/11/89,Female,32,31
de VRIES Tim,Netherlands,NED,Cycling Road,CRD,10/08/78,Male,43,42
DEBERG Jean-Francois,Belgium,BEL,Cycling Road,CRD,17/11/81,Male,40,39
DEBRUNNER Catherine,Switzerland,SUI,Athletics,ATH,11/04/95,Female,26,25
DEDEKIND Katja,Australia,AUS,Swimming,SWM,17/08/01,Female,20,19
DEDERICK Hannah,United States of America,USA,Athletics,ATH,20/11/02,Female,19,18
DEEPAK,India,IND,Shooting,SHO,08/05/82,Male,39,38
DEGTYAREV David,Kazakhstan,KAZ,Powerlifting,PWL,12/06/96,Male,25,24
del AMO CANO Alvaro,Spain,ESP,Athletics,ATH,20/01/90,Male,32,31
DELAGRAVE Joseph,United States of America,USA,Wheelchair Rugby,WRU,21/03/85,Male,37,36
DELALIC Sabahudin,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS,17/08/72,Male,49,48
DELDO GARCIA Angel,Argentina,ARG,Football 5-a-side,FB5,01/10/87,Male,34,33
DELGADO Mariela,Argentina,ARG,Cycling Road,CRD,26/07/86,Female,35,34
DELGADO Mariela,Argentina,ARG,Cycling Track,CTR,26/07/86,Female,35,34
DELGADO NADAL Maria,Spain,ESP,Swimming,SWM,08/10/97,Female,24,23
DEMA Chimi,Bhutan,BHU,Athletics,ATH,30/08/93,Female,28,27
DEMBEREL Selengee,Mongolia,MGL,Archery,ARC,21/01/90,Female,32,31
DEMCHUK Andrii,Ukraine,UKR,Wheelchair Fencing,WFE,14/12/87,Male,34,33
DEMENTYEV Yehor,Ukraine,UKR,Cycling Road,CRD,12/03/87,Male,35,34
DEMENTYEV Yehor,Ukraine,UKR,Cycling Track,CTR,12/03/87,Male,35,34
DEMIR Merve Cansu,Turkey,TUR,Table Tennis,TTE,06/09/01,Female,20,19
DEMISSE Tamiru,Ethiopia,ETH,Athletics,ATH,07/10/93,Male,28,27
den BOER Nikita,Netherlands,NED,Athletics,ATH,08/01/91,Female,31,30
DENG Mingzhu,People's Republic of China,CHN,Wheelchair Basketball,WBK,10/11/87,Female,34,33
DENG Peicheng,People's Republic of China,CHN,Athletics,ATH,30/05/96,Male,25,24
DENG Xuemei,People's Republic of China,CHN,Powerlifting,PWL,03/12/91,Female,30,29
DENNIS Amanda,United States of America,USA,Goalball,GBL,05/02/94,Female,28,27
DENNIS Michael,Germany,GER,Goalball,GBL,13/10/92,Male,29,28
DENYSENKO Kateryna,Ukraine,UKR,Swimming,SWM,07/03/94,Female,28,27
DENYSIUK Oleksii,Ukraine,UKR,Shooting,SHO,02/02/89,Male,33,32
DEPERGOLA Mauro,Argentina,ARG,Table Tennis,TTE,20/05/81,Male,40,39
DERGOVICS Fabiola,Brazil,BRA,Archery,ARC,23/06/67,Female,54,53
DERHEM Zakariae,Morocco,MAR,Athletics,ATH,09/10/90,Male,31,30
DERUS Michal,Poland,POL,Athletics,ATH,21/09/90,Male,31,30
DESCARREGA PUIGDEVALL Gerard,Spain,ESP,Athletics,ATH,02/05/94,Male,27,26
DESINI Sara,Italy,ITA,Sitting Volleyball,VBS,30/11/98,Female,23,22
DESJARDINS Joey,Canada,CAN,Cycling Road,CRD,23/07/86,Male,35,34
DETTONI Cristian,Chile,CHI,Table Tennis,TTE,08/10/74,Male,47,46
DEUTZ Saskia,Germany,GER,Equestrian,EQU,24/07/73,Female,48,47
DEVENDRA,India,IND,Athletics,ATH,10/06/81,Male,40,39
DEVINE David,Great Britain,GBR,Athletics,ATH,13/02/92,Male,30,29
DEVOS Laurens,Belgium,BEL,Table Tennis,TTE,15/08/00,Male,21,20
DHARAMBIR,India,IND,Athletics,ATH,18/01/89,Male,33,32
DHARMASENA D S R,Sri Lanka,SRI,Wheelchair Tennis,WTE,24/06/89,Male,32,31
DHEVA Anrimusthi,Indonesia,INA,Badminton,BDM,05/12/98,Male,23,22
DI Dongdong,People's Republic of China,CHN,Athletics,ATH,29/12/93,Male,28,27
di TORO Lisa Daniela,Australia,AUS,Table Tennis,TTE,16/10/74,Female,47,46
DIAKITE Ahmed Tidiane,France,FRA,Football 5-a-side,FB5,31/12/82,Male,39,38
DIALLO DIOUF Amadou,Spain,ESP,Wheelchair Basketball,WBK,04/01/92,Male,30,29
DIAMANTIS Stefanos,Greece,GRE,Wheelchair Tennis,WTE,06/04/87,Male,35,34
DIAS de LIMA Josiane,Brazil,BRA,Rowing,ROW,25/02/75,Female,47,46
DIAZ ALDANA Leonardo,Cuba,CUB,Athletics,ATH,16/02/75,Male,47,46
DIAZ COLON Yaimillie Marie,Puerto Rico,PUR,Athletics,ATH,11/01/04,Female,18,17
DIAZ Daniel,Colombia,COL,Wheelchair Basketball,WBK,17/05/90,Male,31,30
DIAZ Lucas Nicolas,Argentina,ARG,Canoe Sprint,CSP,25/05/80,Male,41,40
DIDIER Ugo,France,FRA,Swimming,SWM,11/09/01,Male,20,19
DIDUKH Viktor,Ukraine,UKR,Table Tennis,TTE,23/01/87,Male,35,34
DIEHM Fabian,Germany,GER,Goalball,GBL,06/10/97,Male,24,23
DIENG Ndiaga,Italy,ITA,Athletics,ATH,17/07/99,Male,22,21
DIETZ Sebastian,Germany,GER,Athletics,ATH,25/02/85,Male,37,36
DIMAS VASQUEZ Rey Melchor,Panama,PAN,Powerlifting,PWL,06/01/86,Male,36,35
DIMITRIJEVIC Zeljko,Serbia,SRB,Athletics,ATH,04/01/71,Male,51,50
DIMOU Konstantinos,Greece,GRE,Powerlifting,PWL,02/02/81,Male,41,40
DING Jian,People's Republic of China,CHN,Sitting Volleyball,VBS,08/01/99,Male,23,22
DING Xiaochao,People's Republic of China,CHN,Sitting Volleyball,VBS,13/07/87,Male,34,33
DINSA Gemechu Amenu,Ethiopia,ETH,Athletics,ATH,03/05/00,Male,21,20
DIODOROVA Anastasia,RPC,RPC,Swimming,SWM,07/01/90,Female,32,31
DIOUF Youssoupha,Senegal,SEN,Athletics,ATH,31/12/86,Male,35,34
DISKEN Timothy,Australia,AUS,Swimming,SWM,03/11/96,Male,25,24
DISPALTRO Marco,Canada,CAN,Boccia,BOC,02/08/67,Male,54,53
DISSANAYAKE MUDIYANSELAGE Kumudu P.,Sri Lanka,SRI,Athletics,ATH,26/03/88,Female,34,33
DIXON Amy,United States of America,USA,Triathlon,TRI,05/12/75,Female,46,45
DJELAL Safia,Algeria,ALG,Athletics,ATH,04/03/83,Female,39,38
DMITRIEVA Alena,RPC,RPC,Sitting Volleyball,VBS,27/09/82,Female,39,38
DO Thanh Hai,Vietnam,VIE,Swimming,SWM,08/06/90,Male,31,30
DOBROVOLSKAJA Oksana,Lithuania,LTU,Athletics,ATH,06/02/96,Female,26,25
DODD Hannah,Australia,AUS,Wheelchair Basketball,WBK,27/04/92,Female,29,28
DOGANGUN Hamide,Turkey,TUR,Athletics,ATH,25/12/93,Female,28,27
DOKKAN Jens Lasse,Norway,NOR,Equestrian,EQU,14/02/61,Male,61,60
DOLEZAR Angelena,Canada,CAN,Sitting Volleyball,VBS,12/06/85,Female,36,35
DOLGOVA Olga,RPC,RPC,Boccia,BOC,17/06/73,Female,48,47
DOLOH Nadiia,Ukraine,UKR,Wheelchair Fencing,WFE,10/06/86,Female,35,34
DOMASCHENZ Renae,Australia,AUS,Rowing,ROW,07/02/79,Female,43,42
DOMBAYEV Nurlan,Kazakhstan,KAZ,Taekwondo,TKW,15/08/81,Male,40,39
DONG Chao,People's Republic of China,CHN,Shooting,SHO,13/12/85,Male,36,35
DONG Feixia,People's Republic of China,CHN,Athletics,ATH,17/03/89,Female,33,32
DONOHOE Alistair,Australia,AUS,Cycling Road,CRD,03/03/95,Male,27,26
DONOHOE Alistair,Australia,AUS,Cycling Track,CTR,03/03/95,Male,27,26
DOPLIHAR Anej,Slovenia,SLO,Cycling Road,CRD,22/06/93,Male,28,27
DORE Caitlin,New Zealand,NZL,Athletics,ATH,09/06/96,Female,25,24
DORONINA Veronika,RPC,RPC,Athletics,ATH,14/12/95,Female,26,25
DOROSHENKO Andrii,Ukraine,UKR,Shooting,SHO,07/09/87,Male,34,33
DOROSHENKO Oleksandr,Ukraine,UKR,Athletics,ATH,01/09/81,Male,40,39
DORRIS Danielle,Canada,CAN,Swimming,SWM,22/09/02,Female,19,18
DORSMAN Rogier,Netherlands,NED,Swimming,SWM,28/07/99,Male,22,21
dos SANTOS ARAUJO Gabriel Geraldo,Brazil,BRA,Swimming,SWM,16/03/02,Male,20,19
dos SANTOS Eliseu,Brazil,BRA,Boccia,BOC,15/11/76,Male,45,44
dos SANTOS Jhulia Karol,Brazil,BRA,Athletics,ATH,18/09/91,Female,30,29
dos SANTOS Marcelo,Brazil,BRA,Boccia,BOC,10/09/72,Male,49,48
DOSMALOVA Kamilya,Kazakhstan,KAZ,Taekwondo,TKW,11/08/92,Female,29,28
DOSTY Whitney,United States of America,USA,Sitting Volleyball,VBS,25/02/88,Female,34,33
DRAG Przemyslaw,Poland,POL,Swimming,SWM,25/03/02,Male,20,19
DRAGANOV-CORDAS Katarina,Serbia,SRB,Swimming,SWM,28/11/95,Female,26,25
DRAHONINSKY David,Czech Republic,CZE,Archery,ARC,19/05/82,Male,39,38
DRAKE VEGA Oniger Jesus,Cuba,CUB,Powerlifting,PWL,24/05/72,Male,49,48
DRANSFIELD Caitlin,Australia,AUS,Badminton,BDM,13/01/91,Female,31,30
DREIMUELLER Nico,Germany,GER,Wheelchair Basketball,WBK,10/12/97,Male,24,23
DREOCK KAESER Angelika,Germany,GER,Cycling Road,CRD,02/03/67,Female,55,54
DRESING Heidemarie,Germany,GER,Equestrian,EQU,24/06/55,Female,66,65
DRETAR KARIC Helena,Croatia,CRO,Table Tennis,TTE,28/11/79,Female,42,41
DROZDZ Kinga,Poland,POL,Wheelchair Fencing,WFE,06/09/94,Female,27,26
du PLESSIS Daniel,South Africa,RSA,Athletics,ATH,04/11/93,Male,28,27
du PREEZ Nicolas Pieter,South Africa,RSA,Cycling Road,CRD,14/01/80,Male,42,41
du TOIT Charl,South Africa,RSA,Athletics,ATH,26/03/93,Male,29,28
DUARTE RUAS CUSTODIO Ana Carolina,Brazil,BRA,Goalball,GBL,23/04/87,Female,34,33
DUBROV Denys,Ukraine,UKR,Swimming,SWM,10/01/89,Male,33,32
DUCHESNE Sabrina,Canada,CAN,Swimming,SWM,17/04/01,Female,20,19
DUCRET Jordan,France,FRA,Wheelchair Rugby,WRU,08/11/95,Male,26,25
DUENAS Diego German,Colombia,COL,Cycling Road,CRD,17/05/90,Male,31,30
DUENAS Diego German,Colombia,COL,Cycling Track,CTR,17/05/90,Male,31,30
DUKE Kyron,Great Britain,GBR,Athletics,ATH,12/10/92,Male,29,28
DUMAN Besra,Turkey,TUR,Powerlifting,PWL,10/01/01,Female,21,20
DUMAN Hatice,Turkey,TUR,Table Tennis,TTE,12/08/94,Female,27,26
DUNDZYS Donatas,Lithuania,LTU,Athletics,ATH,04/12/91,Male,30,29
DUNLEVY Katie-George,Ireland,IRL,Cycling Road,CRD,26/11/81,Female,40,39
DUNLEVY Katie-George,Ireland,IRL,Cycling Track,CTR,26/11/81,Female,40,39
DUNN Martyn,Australia,AUS,Wheelchair Tennis,WTE,25/12/92,Male,29,28
DUNN Reece,Great Britain,GBR,Swimming,SWM,19/09/95,Male,26,25
DUPIK Alexandra,RPC,RPC,Canoe Sprint,CSP,05/10/86,Female,35,34
DUPLESSIS Danielle,Canada,CAN,Wheelchair Basketball,WBK,17/07/97,Female,24,23
DURAN Mirzet,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS,13/10/86,Male,35,34
DURAND ELIAS Omara,Cuba,CUB,Athletics,ATH,26/11/91,Female,30,29
DURIC Nebojsa,Serbia,SRB,Athletics,ATH,17/10/87,Male,34,33
DUSHKIN Dmitry,RPC,RPC,Athletics,ATH,29/11/88,Male,33,32
DUSKOVA Vendula,Czech Republic,CZE,Swimming,SWM,04/06/98,Female,23,22
DUVAL Meirycoll,Brazil,BRA,Wheelchair Tennis,WTE,13/10/94,Female,27,26
DUZGUN Tekin Okan,Turkey,TUR,Goalball,GBL,24/05/88,Male,33,32
DVORSKYI Yurii,Ukraine,UKR,Swimming,SWM,27/12/86,Male,35,34
DZHATIEV David,RPC,RPC,Athletics,ATH,16/08/02,Male,19,18
DZOBA-BALYAN Roksolana,Ukraine,UKR,Archery,ARC,03/10/82,Female,39,38
EACHUS Patricia,Switzerland,SUI,Athletics,ATH,26/09/89,Female,32,31
EAGLESHAM Phil,Ireland,IRL,Shooting,SHO,26/10/81,Male,40,39
EATON Kaitlyn,United States of America,USA,Wheelchair Basketball,WBK,17/08/94,Female,27,26
EBERHARDT Fernando,Argentina,ARG,Table Tennis,TTE,21/06/77,Male,44,43
ECHEVERRIA Omar,Mexico,MEX,Archery,ARC,26/04/81,Male,40,39
EDER Natalija,Austria,AUT,Athletics,ATH,06/08/80,Female,41,40
